complaint_id,precinct,borough,offense_level,offense_type,occurred_at,source
316810964,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-30T11:07:00,SOCRATA_qgea-i56i
316812393,84,BROOKLYN,FELONY,MISCELLANEOUS PENAL LAW,2025-11-30T10:10:00,SOCRATA_qgea-i56i
316819658,84,BROOKLYN,MISDEMEANOR,DANGEROUS WEAPONS,2025-11-30T17:45:00,SOCRATA_qgea-i56i
316819659,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-11-30T17:24:00,SOCRATA_qgea-i56i
316822530,84,BROOKLYN,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,2025-11-30T17:18:00,SOCRATA_qgea-i56i
316827754,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-11-28T15:30:00,SOCRATA_qgea-i56i
316827963,84,BROOKLYN,FELONY,ROBBERY,2025-11-30T21:19:00,SOCRATA_qgea-i56i
316828190,84,BROOKLYN,FELONY,MISCELLANEOUS PENAL LAW,2025-11-30T22:15:00,SOCRATA_qgea-i56i
316828422,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-11-30T22:15:00,SOCRATA_qgea-i56i
316833165,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-30T23:00:00,SOCRATA_qgea-i56i
316833670,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-21T19:40:00,SOCRATA_qgea-i56i
316833671,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-30T15:00:00,SOCRATA_qgea-i56i
316834050,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-28T20:40:00,SOCRATA_qgea-i56i
316835924,84,BROOKLYN,FELONY,DANGEROUS WEAPONS,2025-12-01T06:12:00,SOCRATA_qgea-i56i
316836802,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-12-01T01:05:00,SOCRATA_qgea-i56i
316852360,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-12-01T09:26:00,SOCRATA_qgea-i56i
316852362,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-30T03:00:00,SOCRATA_qgea-i56i
316852363,84,BROOKLYN,FELONY,BURGLARY,2025-12-01T12:00:00,SOCRATA_qgea-i56i
316852364,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-20T17:15:00,SOCRATA_qgea-i56i
316855042,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-28T22:00:00,SOCRATA_qgea-i56i
316855043,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-12-01T15:10:00,SOCRATA_qgea-i56i
316858052,84,BROOKLYN,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,2025-12-01T15:12:00,SOCRATA_qgea-i56i
316858053,84,BROOKLYN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-11-30T11:45:00,SOCRATA_qgea-i56i
316860553,84,BROOKLYN,VIOLATION,MISCELLANEOUS PENAL LAW,2025-11-29T08:25:00,SOCRATA_qgea-i56i
316860554,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-12-01T15:40:00,SOCRATA_qgea-i56i
316860556,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-12-01T13:56:00,SOCRATA_qgea-i56i
316860557,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-12-01T12:00:00,SOCRATA_qgea-i56i
316868292,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-22T18:00:00,SOCRATA_qgea-i56i
316871858,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-14T07:00:00,SOCRATA_qgea-i56i
316872087,84,BROOKLYN,FELONY,GRAND LARCENY,2025-12-01T20:15:00,SOCRATA_qgea-i56i
316872917,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-12-02T00:48:00,SOCRATA_qgea-i56i
316872918,84,BROOKLYN,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,2025-12-01T16:15:00,SOCRATA_qgea-i56i
316884416,84,BROOKLYN,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,2025-12-02T05:46:00,SOCRATA_qgea-i56i
316891816,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-12-02T09:55:00,SOCRATA_qgea-i56i
316891817,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-22T17:46:00,SOCRATA_qgea-i56i
316894237,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-02T11:12:00,SOCRATA_qgea-i56i
316896718,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-25T09:11:00,SOCRATA_qgea-i56i
316899562,84,BROOKLYN,MISDEMEANOR,DANGEROUS WEAPONS,2025-12-02T10:17:00,SOCRATA_qgea-i56i
316899563,84,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2025-12-02T05:50:00,SOCRATA_qgea-i56i
316902985,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-29T20:10:00,SOCRATA_qgea-i56i
316902986,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-02T11:21:00,SOCRATA_qgea-i56i
316911013,84,BROOKLYN,FELONY,CRIMINAL MISCHIEF & RELATED OF,2025-12-02T13:30:00,SOCRATA_qgea-i56i
316915248,84,BROOKLYN,FELONY,ROBBERY,2025-12-02T14:00:00,SOCRATA_qgea-i56i
316915249,84,BROOKLYN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-10-12T09:00:00,SOCRATA_qgea-i56i
316920948,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-20T12:34:00,SOCRATA_qgea-i56i
316926945,84,BROOKLYN,FELONY,GRAND LARCENY,2025-12-01T15:00:00,SOCRATA_qgea-i56i
316929409,84,BROOKLYN,FELONY,GRAND LARCENY,2025-12-02T09:00:00,SOCRATA_qgea-i56i
